Algorithm,Comfort,Heating_1,Heating_2,Multiservice_1,Multiservice_2,Multiservice_3,Multiservice_4,Ventilation
acac,1.72,3.84,17.31,69.50,7.60,16.86,3.01,5.28
accf,18.75,3.37,44.57,15.68,44.48,17.65,3.15,30.37
acn,18.75,4.45,44.57,16.61,43.66,17.65,3.01,30.37
adt,70.24,2.68,8.04,47.70,8.47,17.65,3.01,9.59
cba,29.92,4.12,49.88,18.92,43.66,23.80,4.58,30.67
cba2,41.07,4.22,44.07,18.34,46.14,24.61,5.39,30.29
cmar,17.04,2.67,11.79,79.80,11.05,28.39,6.08,27.08
cpar,29.92,5.34,45.00,20.00,1.99,22.00,6.18,30.68
L3,18.81,4.38,44.51,16.63,44.58,17.65,3.38,30.58
mac,17.76,2.68,44.57,16.61,43.42,17.65,3.01,30.58
carrt,25.38,2.96,44.73,16.61,45.52,17.35,6.09,30.68
