Algorithm,Comfort,Heating_1,Heating_2,Multiservice_1,Multiservice_2,Multiservice_3,Multiservice_4,Ventilation
acac,14.61,3.89,18.75,17.29,26.24,17.65,5.07,25.11
accf,18.75,3.47,44.57,16.62,44.48,17.65,3.01,30.37
acn,18.75,2.68,44.57,16.61,43.66,17.65,3.01,30.37
adt,69.22,2.68,8.04,0.00,0.00,17.65,3.01,9.59
cba,29.92,2.68,49.88,18.92,43.66,23.80,3.01,30.67
cba2,41.07,3.70,44.07,18.34,46.14,24.61,5.29,30.29
cmar,16.44,0.00,19.44,16.45,24.74,21.21,3.77,26.85
cpar,29.92,5.34,45.00,20.00,1.99,22.00,6.18,30.68
L3,18.81,3.73,44.57,16.35,44.51,17.65,3.98,30.58
mac,29.92,2.68,44.57,16.61,43.42,17.65,3.01,30.58
carrt,25.38,6.27,44.73,18.93,44.22,30.21,9.02,30.66
