Algorithm,Comfort,Heating_1,Heating_2,Multiservice_1,Multiservice_2,Multiservice_3,Multiservice_4,Ventilation
acac,17.61,5.81,36.21,22.17,44.22,17.65,6.62,9.59
accf,21.17,13.20,44.73,16.43,63.27,17.65,11.68,30.47
acn,21.11,7.54,44.57,16.71,53.95,17.65,7.07,30.56
adt,5.85,3.14,8.04,0.00,76.58,17.65,3.01,9.59
cba,21.07,11.25,61.60,21.62,61.54,22.93,11.47,30.65
cba2,27.59,17.73,56.50,23.97,76.15,23.56,25.79,29.75
cmar,19.30,5.96,48.35,5.95,35.91,22.03,9.25,26.71
cpar,21.17,15.83,59.64,6.41,35.19,30.07,12.31,30.68
L3,21.07,14.19,59.34,30.52,72.04,42.86,14.32,30.58
mac,21.17,8.34,57.26,18.83,51.20,17.65,13.39,30.68
carrt,25.38,17.42,58.30,18.05,44.22,17.50,17.03,30.68
